Season_Number,Guest_Star_Name,Episode_Title
24,Kevin Michael Richardson,"""Moonshine River""[107]"
24,Al Roker,"""Moonshine River""[106]"
24,Sarah Silverman,"""Moonshine River""[106]"
24,Marcia Wallace,"""Moonshine River"""
24,Jon Lovitz,"""Treehouse of Horror XXIII""[108]"
24,Marcia Wallace,"""Treehouse of Horror XXIII"""
24,Jeff Gordon,"""Adventures in Baby-Getting""[109]"
24,Marvin Hamlisch,"""Gone Abie Gone""[110]"
24,Anika Noni Rose,"""Gone Abie Gone""[110]"
24,Jennifer Tilly,"""Gone Abie Gone""[110]"
24,Steve Carell,"""Penny-Wiseguys""[111]"
24,Terry W. Greene,"""Penny-Wiseguys"""
24,Joe Mantegna,"""Penny-Wiseguys""[111]"
24,Alex Trebek,"""Penny-Wiseguys""[111]"
24,Kelsey Grammer,"""A Tree Grows in Springfield""[112]"
24,Marcia Wallace,"""A Tree Grows in Springfield"""
24,Fred Armisen,"""The Day the Earth Stood Cool""[113]"
24,Carrie Brownstein,"""The Day the Earth Stood Cool""[113]"
24,Colin Meloy[F],"""The Day the Earth Stood Cool""[114]"
24,Patton Oswalt,"""The Day the Earth Stood Cool""[113]"
24,Marcia Wallace,"""The Day the Earth Stood Cool"""
24,Maurice LaMarche,"""Homer Goes to Prep School""[115]"
24,Tom Waits,"""Homer Goes to Prep School""[116]"
24,Valerie Harper,"""A Test Before Trying""[117]"
24,Marcia Wallace,"""A Test Before Trying"""
24,Danny DeVito,"""The Changing of the Guardian""[118]"
24,Terry W. Greene,"""The Changing of the Guardian"""
24,Rashida Jones,"""The Changing of the Guardian""[118]"
24,Robert A. Caro,"""Love is a Many-Splintered Thing""[119]"
24,Benedict Cumberbatch,"""Love is a Many-Splintered Thing""[119]"
24,Zooey Deschanel,"""Love is a Many-Splintered Thing""[119]"
24,Max Weinberg,"""Love is a Many-Splintered Thing""[119]"
24,Kevin Michael Richardson,"""Hardly Kirk-ing""[120]"
24,Richard Dawkins,"""Black Eyed, Please""[121]"
24,Tina Fey,"""Black Eyed, Please""[121]"
24,Marcia Wallace,"""Black Eyed, Please"""
24,Michael Dees,"""Dark Knight Court""[122]"
24,Janet Reno,"""Dark Knight Court""[122]"
24,Maggy Reno Hurchalla[G],"""Dark Knight Court""[122]"
24,Bryan Cranston,"""What Animated Women Want""[123]"
24,Maurice LaMarche,"""What Animated Women Want""[124]"
24,Aaron Paul,"""What Animated Women Want""[123]"
24,Wanda Sykes,"""What Animated Women Want""[125]"
24,George Takei,"""What Animated Women Want""[125]"
24,Marcia Wallace,"""What Animated Women Want"""
24,Edward Norton,"""Pulpit Friction""[126]"
24,Susie Stevens,"""Pulpit Friction"""
24,Tony Bennett,"""Whiskey Business"""
24,Kevin Michael Richardson,"""Whiskey Business""[127]"
24,Sonny Rollins,"""Whiskey Business""[127]"
24,Ron Taylor,"""Whiskey Business"""
24,Justin Bieber,"""The Fabulous Faker Boy""[128]"
24,Bill Hader,"""The Fabulous Faker Boy""[128]"
24,Jane Krakowski,"""The Fabulous Faker Boy""[128]"
24,Patrick Stewart,"""The Fabulous Faker Boy""[128]"
24,Sigur Rós,"""The Saga of Carl""[129]"
24,Lisa Lampanelli,"""Dangers on a Train""[130]"
24,Seth MacFarlane,"""Dangers on a Train""[130]"
25,Kevin Michael Richardson,"""Homerland""[131]"
25,Kristen Wiig,"""Homerland""[132]"
25,Marcia Wallace,"""Treehouse of Horror XXIV"""
25,Rachel Maddow,"""Four Regrettings and a Funeral""[133]"
25,Joe Namath,"""Four Regrettings and a Funeral""[133]"
25,Marcia Wallace,"""Four Regrettings and a Funeral"""
25,Denise Donatelli,"""YOLO"""
25,Jon Lovitz,"""YOLO""[134]"
25,Marcia Wallace,"""YOLO"""
25,Elisabeth Moss,"""Labor Pains""[135]"
25,Anderson Cooper,"""The Kid Is All Right""[136]"
25,Maurice LaMarche,"""The Kid Is All Right"""
25,Eva Longoria,"""The Kid Is All Right""[136]"
25,Kevin Michael Richardson,"""Yellow Subterfuge"""
25,Judd Apatow,"""Steal This Episode""[137]"
25,Will Arnett,"""Steal This Episode"""
25,Rob Halford,"""Steal This Episode""[137]"
25,Leslie Mann,"""Steal This Episode""[137]"
25,Kevin Michael Richardson,"""Steal This Episode"""
25,Seth Rogen,"""Steal This Episode""[137]"
25,Paul Rudd,"""Steal This Episode""[137]"
25,Channing Tatum,"""Steal This Episode""[137]"
25,Harlan Ellison,"""Married to the Blob""[138]"
25,Maurice LaMarche,"""Married to the Blob"""
25,Stan Lee,"""Married to the Blob""[138]"
25,Maurice LaMarche,"""Specs and the City"""
25,Will Lyman,"""Specs and the City""[139]"
25,Daniel Radcliffe,"""Diggs""[140]"
25,Kelsey Grammer,"""The Man Who Grew Too Much""[141]"
25,Marcia Wallace,"""The Man Who Grew Too Much"""
25,Kevin Michael Richardson,"""The Winter of His Content"""
25,Renee Ridgeley,"""The War of Art"""
25,Max von Sydow,"""The War of Art"""
25,Andrés Cantor,"""You Don't Have to Live Like a Referee"""
25,Joey Vieira,"""You Don't Have to Live Like a Referee"""
25,Zach Galifianakis,"""Luca$""[142]"
25,Amy Poehler,"""Days of Future Future"""
25,Tavi Gevinson,"""What to Expect When Bart's Expecting"""
25,Joe Mantegna,"""What to Expect When Bart's Expecting"""
25,Carl Kasell,"""Pay Pal"""
25,John Oliver,"""Pay Pal"""
25,Peter Sagal,"""Pay Pal"""
25,Glenn Close,"""The Yellow Badge of Cowardge"""
25,Edwin Moses,"""The Yellow Badge of Cowardge"""
26,Kelsey Grammer,"""Clown in the Dumps"""
26,Don Hertzfeldt,"""Clown in the Dumps"""
26,Maurice LaMarche,"""Clown in the Dumps"""
26,Jackie Mason,"""Clown in the Dumps"""
26,David Hyde Pierce,"""Clown in the Dumps"""
26,Jeff Ross,"""Clown in the Dumps"""
26,Sarah Silverman,"""Clown in the Dumps"""
26,Nick Offerman,"""The Wreck of the Relationship"""
26,Marc Wilmore,"""The Wreck of the Relationship"""
26,John Ratzenberger,"""Treehouse of Horror XXV"""
26,Jane Fonda,"""Opposites A-Frack"""
26,Robert Siegel,"""Opposites A-Frack"""
26,John DiMaggio,"""Simpsorama"""
26,David Herman,"""Simpsorama"""
26,Maurice LaMarche,"""Simpsorama"""
26,Phil LaMarr,"""Simpsorama"""
26,Katey Sagal,"""Simpsorama"""
26,Sally Stevens,"""Simpsorama"""
26,Lauren Tom,"""Simpsorama"""
26,Frank Welker,"""Simpsorama"""
26,Billy West,"""Simpsorama"""
26,Willem Dafoe,"""Blazed and Confused"""
26,Kelsey Grammer,"""Blazed and Confused"""
26,David Silverman,"""Blazed and Confused"""
26,Will Forte,"""Covercraft"""
26,Sammy Hagar,"""Covercraft"""
26,Heavy Young Heathens[H],"""Covercraft"""
26,Matthew Sweet,"""Covercraft"""
26,Gene Lockhart (archival),"""I Won't Be Home for Christmas"""
26,Stacy Keach,"""Bart's New Friend"""
26,Elon Musk,"""The Musk Who Fell To Earth"""
26,Kevin Michael Richardson,"""Walking Big & Tall"""
26,Pharrell Williams,"""Walking Big & Tall"""
26,Christopher Lloyd,"""My Fare Lady"""
26,Rich Sommer,"""My Fare Lady"""
26,Richard Branson,"""The Princess Guide"""
26,Yaya DaCosta,"""The Princess Guide"""
26,Jon Lovitz,"""The Princess Guide"""
26,Kevin Michael Richardson,"""The Princess Guide"""
26,Nathan Fielder,"""Sky Police"""
26,Cat Deeley,"""Waiting for Duffman"""
26,R. Lee Ermey,"""Waiting for Duffman"""
26,Stacy Keach,"""Waiting for Duffman"""
26,Glenn Close,"""Let's Go Fly a Coot"""
26,Carice van Houten,"""Let's Go Fly a Coot"""
26,Albert Brooks,"""Bull-E"""
26,Joe Mantegna,"""Bull-E"""
26,Johnny Mathis,"""Bull-E"""
26,Justin Roiland,"""Mathlete's Feat"""
27,Adam Driver,"""Every Man's Dream"""
27,Lena Dunham,"""Every Man's Dream"""
27,Laura Ingraham,"""Every Man's Dream"""
27,Jemima Kirke,"""Every Man's Dream"""
27,Zosia Mamet,"""Every Man's Dream"""
27,Allison Williams,"""Every Man's Dream"""
27,Alton Brown,"""'Cue Detective"""
27,Rex Harrison (archival),"""'Cue Detective"""
27,Bobby Moynihan,"""'Cue Detective"""
27,Anthony Newley (archival),"""'Cue Detective"""
27,Edward James Olmos,"""'Cue Detective"""
27,Ben Schwartz,"""'Cue Detective"""
27,Jon Lovitz,"""Puffless"""
27,Yo-Yo Ma,"""Puffless"""
27,Blake Anderson,"""Halloween of Horror"""
27,Nick Kroll,"""Halloween of Horror"""
27,Renee Ridgeley,"""Halloween of Horror"""
27,Kelsey Grammer,"""Treehouse of Horror XXVI"""
27,Chris Wedge,"""Treehouse of Horror XXVI"""
27,Kristen Bell,"""Friend With Benefit"""
27,David Copperfield,"""Friend With Benefit"""
27,Stephen Merchant,"""The Girl Code"""
27,Kaitlin Olson,"""The Girl Code"""
27,Sofía Vergara,"""Teenage Mutant Milk-Caused Hurdles"""
27,Utkarsh Ambudkar,"""Much Apu About Something"""
27,Glenn Close,"""Love Is in the N2-O2-Ar-CO2-Ne-He-CH4"""
27,Bob Boilen,"""Gal of Constant Sorrow"""
27,Kelsey Grammer,"""Gal of Constant Sorrow"""
27,Kate McKinnon,"""Gal of Constant Sorrow"""
27,Natalie Maines[I],"""Gal of Constant Sorrow"""
27,Michael York,"""Lisa the Veterinarian"""
27,Brian J. Kaufman,"""The Marge-ian Chronicles"""
27,Tom Scharpling,"""The Marge-ian Chronicles"""
27,Jon Wurster,"""The Marge-ian Chronicles"""
27,George Takei,"""The Burns Cage"""
27,Andrew Rannells,"""How Lisa Got Her Marge Back"""
27,Jay Leno,"""To Courier with Love"""
