,Season,Guest star,Episode title
48,3,Neil Patrick Harris,"""Bart the Murderer""[66]"
49,3,Phil Hartman,"""Bart the Murderer""[67]"
50,3,Joe Mantegna,"""Bart the Murderer""[66]"
51,3,Marcia Wallace,"""Bart the Murderer""[66]"
52,3,Chick Hearn,"""Homer Defined""[68]"
53,3,Magic Johnson,"""Homer Defined""[68]"
54,3,Jon Lovitz,"""Homer Defined""[68]"
55,3,Jackie Mason,"""Like Father, Like Clown""[69]"
56,3,Marcia Wallace,"""Treehouse of Horror II"""
57,3,Marcia Wallace,"""Lisa's Pony"""
58,3,Frank Welker,"""Lisa's Pony""[70]"
59,3,Phil Hartman,"""Saturdays of Thunder""[71]"
60,3,Larry McKay,"""Saturdays of Thunder""[72]"
61,3,Aerosmith[E],"""Flaming Moe's""[73]"
62,3,Phil Hartman,"""Flaming Moe's""[74]"
63,3,Kipp Lennon,"""Flaming Moe's"""
64,3,Marcia Wallace,"""Flaming Moe's"""
65,3,Phil Hartman,"""Burns Verkaufen der Kraftwerk""[75]"
66,3,Sting,"""Radio Bart""[76]"
67,3,Marcia Wallace,"""Radio Bart"""
68,3,Phil Hartman,"""Lisa the Greek""[77]"
69,3,Phil Hartman,"""Homer Alone""[78]"
70,3,Marcia Wallace,"""Bart the Lover"""
71,3,Wade Boggs,"""Homer at the Bat""[79]"
72,3,Jose Canseco,"""Homer at the Bat""[79]"
73,3,Roger Clemens,"""Homer at the Bat""[79]"
74,3,Terry Cashman,"""Homer at the Bat""[79]"
75,3,"Ken Griffey, Jr.","""Homer at the Bat""[79]"
76,3,Don Mattingly,"""Homer at the Bat""[79]"
77,3,Steve Sax,"""Homer at the Bat""[79]"
78,3,Mike Scioscia,"""Homer at the Bat""[79]"
79,3,Ozzie Smith,"""Homer at the Bat""[79]"
80,3,Darryl Strawberry,"""Homer at the Bat""[79]"
81,3,Steve Allen,"""Separate Vocations""[80]"
82,3,Marcia Wallace,"""Separate Vocations"""
83,3,Frank Welker,"""Dog of Death""[81]"
84,3,Beverly D'Angelo,"""Colonel Homer""[82]"
85,3,Kelsey Grammer,"""Black Widower""[83]"
86,3,Christopher Guest,"""The Otto Show""[84]"
87,3,Michael McKean,"""The Otto Show""[84]"
88,3,Phil Hartman,"""Bart's Friend Falls in Love""[85]"
89,3,Kimmy Robertson,"""Bart's Friend Falls in Love""[86]"
90,3,Marcia Wallace,"""Bart's Friend Falls in Love"""
91,3,Danny DeVito,"""Brother, Can You Spare Two Dimes?""[87]"
92,3,Joe Frazier,"""Brother, Can You Spare Two Dimes?""[87]"
93,4,Gene Merlino,"""Kamp Krusty"""
94,4,Marcia Wallace,"""Kamp Krusty"""
95,4,Phil Hartman,"""A Streetcar Named Marge""[88]"
96,4,Jon Lovitz,"""A Streetcar Named Marge""[89]"
97,4,Lona Williams,"""A Streetcar Named Marge""[89]"
98,4,Bob Hope,"""Lisa the Beauty Queen""[90]"
99,4,Lona Williams,"""Lisa the Beauty Queen""[90]"
100,4,Marcia Wallace,"""Treehouse of Horror III"""
101,4,Neil Armstrong (archival),"""Itchy & Scratchy: The Movie"""
102,4,Marcia Wallace,"""Itchy & Scratchy: The Movie"""
103,4,Phil Hartman,"""Marge Gets a Job""[91]"
104,4,Tom Jones,"""Marge Gets a Job""[92]"
105,4,Marcia Wallace,"""Marge Gets a Job"""
106,4,Sara Gilbert,"""New Kid on the Block""[93]"
107,4,Phil Hartman,"""New Kid on the Block""[94]"
108,4,Pamela Reed,"""New Kid on the Block""[93]"
109,4,Phil Hartman,"""Mr. Plow""[95]"
110,4,Linda Ronstadt,"""Mr. Plow""[96]"
111,4,Adam West,"""Mr. Plow""[96]"
112,4,Elizabeth Taylor,"""Lisa's First Word""[97]"
113,4,Phil Hartman,"""Marge vs. the Monorail""[98]"
114,4,Leonard Nimoy,"""Marge vs. the Monorail""[98]"
115,4,Phil Hartman,"""Selma's Choice""[99]"
116,4,Michele Pillar,"""Selma's Choice"""
117,4,Phil Hartman,"""Brother from the Same Planet""[100]"
118,4,Marcia Wallace,"""Brother from the Same Planet"""
119,4,Michael Carrington,"""I Love Lisa""[70]"
120,4,Phil Hartman,"""Duffless""[101]"
121,4,Kipp Lennon,"""Duffless""[101]"
122,4,Marcia Wallace,"""Duffless""[101]"
123,4,Joyce Brothers,"""Last Exit to Springfield""[102]"
124,4,Brooke Shields,"""The Front""[103]"
125,4,Gene Merlino,"""Whacking Day""[104]"
126,4,Barry White,"""Whacking Day""[104]"
127,4,David Crosby,"""Marge in Chains""[105]"
128,4,Phil Hartman,"""Marge in Chains""[106]"
129,4,Johnny Carson,"""Krusty Gets Kancelled""[107]"
130,4,Hugh Hefner,"""Krusty Gets Kancelled""[107]"
131,4,Bette Midler,"""Krusty Gets Kancelled""[107]"
132,4,Luke Perry,"""Krusty Gets Kancelled""[107]"
133,4,Red Hot Chili Peppers[F],"""Krusty Gets Kancelled""[107]"
134,4,Elizabeth Taylor,"""Krusty Gets Kancelled""[107]"
135,4,Marcia Wallace,"""Krusty Gets Kancelled""[107]"
136,4,Barry White,"""Krusty Gets Kancelled""[107]"
137,5,David Crosby,"""Homer's Barbershop Quartet""[108]"
138,5,The Dapper Dans[G],"""Homer's Barbershop Quartet""[108]"
139,5,George Harrison,"""Homer's Barbershop Quartet""[108]"
140,5,Kelsey Grammer,"""Cape Feare""[109]"
141,5,Marcia Wallace,"""Cape Feare"""
142,5,Ramones[H],"""Rosebud""[110]"
143,5,Phil Hartman,"""Treehouse of Horror IV""[111]"
144,5,Frank Welker,"""Treehouse of Horror IV""[111]"
145,5,George Fenneman,"""Marge on the Lam""[112]"
146,5,Phil Hartman,"""Marge on the Lam""[113]"
147,5,Pamela Reed,"""Marge on the Lam""[112]"
148,5,Albert Brooks,"""Bart's Inner Child""[114]"
149,5,James Brown,"""Bart's Inner Child""[114]"
150,5,Phil Hartman,"""Bart's Inner Child""[115]"
151,5,Marcia Wallace,"""Bart's Inner Child"""
152,5,Ernest Borgnine,"""Boy-Scoutz 'n the Hood""[116]"
153,5,Marcia Wallace,"""Boy-Scoutz 'n the Hood"""
154,5,Phil Hartman,"""The Last Temptation of Homer""[117]"
155,5,Werner Klemperer,"""The Last Temptation of Homer""[118]"
